#Copyrighthttps://www.sports-reference.com/cfb/years/2019-schedule.html#schedule::none
#https://www.sports-reference.com/cfb/years/2019-schedule.html#schedule::none
Date,Winner,Pts,Loser,Pts,
43764,Clemson,59,BostonCollege,7,
43764,ColoradoState,41,FresnoState,31,
43764,Connecticut,56,Massachusetts,35,
43764,FloridaAtlantic,41,OldDominion,3,
43764,FloridaState,35,Syracuse,17,
43764,GeorgiaSouthern,41,NewMexicoState,7,
43764,GeorgiaState,52,Troy,33,
43764,Hawaii,45,NewMexico,31,
43764,Illinois,24,Purdue,6,
43764,Indiana,38,Nebraska,31,
43764,Iowa,20,Northwestern,0,
43764,Kansas,37,TexasTech,34,
43764,KansasState,48,Oklahoma,41,
43764,Kentucky,29,Missouri,7,
43764,LouisianaState,23,Auburn,20,
43764,LouisianaTech,42,Texas-ElPaso,21,
43764,Louisville,28,Virginia,21,
43764,Marshall,26,WesternKentucky,23,
43764,Memphis,42,Tulsa,41,
43764,Miami(FL),16,Pittsburgh,12,
43764,Miami(OH),23,KentState,16,
43764,Michigan,45,NotreDame,14,
43764,MiddleTennesseeState,50,FloridaInternational,17,
43764,Minnesota,52,Maryland,10,
43764,Navy,41,Tulane,38,
43764,NorthCarolina,20,Duke,17,
43764,NorthernIllinois,49,Akron,0,
43764,Ohio,34,BallState,21,
43764,OhioState,38,Wisconsin,7,
43764,OklahomaState,34,IowaState,27,
43764,Oregon,37,WashingtonState,35,
43764,PennState,28,MichiganState,7,
43764,Rutgers,44,Liberty,34,
43764,SanDiegoState,20,Nevada-LasVegas,17,
43764,SanJoseState,34,Army,29,
43764,SouthFlorida,45,EastCarolina,20,
43764,SouthernMississippi,20,Rice,6,
43764,Stanford,41,Arizona,31,
43764,Tennessee,41,SouthCarolina,21,
43764,TexasA&M,49,MississippiState,30,
43764,TexasChristian,37,Texas,27,
43764,Toledo,37,EasternMichigan,34,
43764,UCLA,42,ArizonaState,32,
43764,Utah,35,California,0,
43764,WesternMichigan,49,BowlingGreenState,10,
43764,Wyoming,31,Nevada,3,
43769,Baylor,17,WestVirginia,14,
43769,GeorgiaSouthern,24,AppalachianState,21,
43770,Navy,56,Connecticut,10,
43771,AirForce,17,Army,13,
43771,ArkansasState,48,Louisiana-Monroe,41,
43771,Auburn,20,Mississippi,14,
43771,BoiseState,52,SanJoseState,42,
43771,BostonCollege,58,Syracuse,27,
43771,BowlingGreenState,35,Akron,6,
43771,BrighamYoung,42,UtahState,14,
43771,Buffalo,43,EasternMichigan,14,
43771,CentralFlorida,44,Houston,29,
43771,CentralMichigan,48,NorthernIllinois,10,
43771,Charlotte,34,MiddleTennesseeState,20,
43771,Cincinnati,46,EastCarolina,43,
43771,Clemson,59,Wofford,14,
43771,CoastalCarolina,36,Troy,35,
43771,ColoradoState,37,Nevada-LasVegas,17,
43771,FloridaAtlantic,35,WesternKentucky,24,
43771,FloridaInternational,24,OldDominion,17,
43771,FresnoState,41,Hawaii,38,
43771,Georgia,24,Florida,17,
43771,Illinois,38,Rutgers,10,
43771,Indiana,34,Northwestern,3,
43771,KansasState,38,Kansas,10,
43771,Liberty,63,Massachusetts,21,
43771,Louisiana,31,TexasState,3,
43771,Marshall,20,Rice,7,
43771,Memphis,54,SouthernMethodist,48,
43771,Miami(FL),27,FloridaState,10,
43771,Michigan,38,Maryland,7,
43771,MississippiState,54,Arkansas,24,
43771,Nevada,21,NewMexico,10,
43771,NorthTexas,52,Texas-ElPaso,26,
43771,NotreDame,21,VirginiaTech,20,
43771,OklahomaState,34,TexasChristian,27,
43771,Oregon,56,SouthernCalifornia,24,
43771,OregonState,56,Arizona,38,
43771,Pittsburgh,20,GeorgiaTech,10,
43771,Purdue,31,Nebraska,27,
43771,SouthCarolina,24,Vanderbilt,7,
43771,Tennessee,30,Alabama-Birmingham,7,
43771,TexasA&M,45,Texas-SanAntonio,14,
43771,Tulane,38,Tulsa,26,
43771,UCLA,31,Colorado,14,
43771,Utah,33,Washington,28,
43771,Virginia,38,NorthCarolina,31,
43771,WakeForest,44,NorthCarolinaState,10,
43774,Toledo,35,KentState,33,
43774,WesternMichigan,35,BallState,31,
43775,Miami(OH),24,Ohio,21,
43776,Louisiana,48,CoastalCarolina,7,
43776,Temple,17,SouthFlorida,7,
43777,Tulsa,34,CentralFlorida,31,
43777,Washington,19,OregonState,7,
43778,AppalachianState,20,SouthCarolina,15,
43778,Army,63,Massachusetts,7,
43778,Baylor,29,TexasChristian,23,
43778,BoiseState,20,Wyoming,17,
43778,BrighamYoung,31,Liberty,24,
43778,California,33,WashingtonState,20,
43778,Charlotte,28,Texas-ElPaso,21,
43778,Cincinnati,48,Connecticut,3,
43778,Clemson,55,NorthCarolinaState,10,
43778,Colorado,16,Stanford,13,
43778,Florida,56,Vanderbilt,0,
43778,FloridaAtlantic,37,FloridaInternational,7,
43778,FloridaState,38,BostonCollege,31,
43778,Georgia,27,Missouri,0,
43778,Hawaii,42,SanJoseState,40,
43778,Illinois,37,MichiganState,34,
43778,LouisianaState,46,(2)Alabama,41,
43778,LouisianaTech,52,NorthTexas,17,
43778,Louisiana-Monroe,45,GeorgiaState,31,
43778,Miami(FL),52,Louisville,27,
43778,Minnesota,31,PennState,26,
43778,Mississippi,41,NewMexicoState,3,
43778,Nevada,17,SanDiegoState,13,
43778,NotreDame,38,Duke,7,
43778,OhioState,73,Maryland,14,
43778,Oklahoma,42,IowaState,41,
43778,Purdue,24,Northwestern,22,
43778,SouthernCalifornia,31,ArizonaState,26,
43778,SouthernMethodist,59,EastCarolina,51,
43778,SouthernMississippi,37,Alabama-Birmingham,2,
43778,Tennessee,17,Kentucky,13,
43778,Texas,27,KansasState,24,
43778,TexasState,30,SouthAlabama,28,
43778,TexasTech,38,WestVirginia,17,
